href	outgoing_href
'Ala'_al-Din_al-Bukhari	Abdullah_al-Harari
'Ala'_al-Din_al-Bukhari	Badr_al-Din_al-Ayni
'Ala'_al-Din_al-Bukhari	Ibn_Hajar_al-Asqalani
A._J._Ayer	Mihailo_Marković
A._J._Ayer	P._F._Strawson
A._J._Ayer	Peter_Unger
A._J._Ayer	R._M._Hare
A._J._Ayer	Ted_Honderich
Abd_Allah_al-Qaysi	Ibn_Hazm
Abd_al-Aziz_Ibn_Baz	Abu_Abd_al-Rahman_Ibn_Aqil_al-Zahiri
Abd_al-Aziz_Ibn_Baz	Adil_al-Kalbani
Abd_al-Aziz_Ibn_Baz	Al-Albani
Abd_al-Aziz_Ibn_Baz	Saeed_Abubakr_Zakaria
Abd_al-Aziz_Ibn_Baz	Zahran_Alloush
Abd_al-Karim_al-Jili	Titus_Burckhardt
Abd_al-Karim_al-Jili	Reynold_A._Nicholson
Abd_al-Karim_al-Jili	Muḥammad_Aʿlā_al-Tahānawī
Abd_al-Karim_al-Jili	Abdullah_Bosnevi
Abd_al-Karim_al-Jili	Emir_Abdelkader
Abd_al-Karim_al-Jili	'Ali_Nur_al-Din_al-Yashruti
Abd_al-Karim_al-Jili	Muhammad_Iqbal
Abd_al-Razzaq_al-San'ani	Ahmad_ibn_Hanbal
Abd_al-Razzaq_al-San'ani	Ali_ibn_al-Madini
Abd_al-Razzaq_al-San'ani	Yahya_ibn_Ma'in
Abd_al-Salam_ibn_Mashish_al-Alami	Al-Shadhili
Abd_al-Wahid_ibn_Zaid	Al-Darani
Abdallah_ibn_Yasin	Abu_Bakr_ibn_Umar
Abdallah_ibn_Yasin	Yusuf_ibn_Tashfin
Abdul-Rahman_al-Sa'di	Muhammad_ibn_al-Uthaymeen
Abdul_Halim_Bukhari	A_F_M_Khalid_Hossain
Abdul_Matin_Chowdhury_(scholar)	Emdadul_Haque_(religious_figure)
Abdul_Matin_Chowdhury_(scholar)	Nur_Uddin_Gohorpuri
Abdul_Matin_Chowdhury_(scholar)	Amin_Uddin_Shaikh-e-Ketia
Abdul_Qadir_Raipuri	Abul_Hasan_Ali_Hasani_Nadwi
Abdul_Qadir_Raipuri	Iftikhar-ul-Hasan_Kandhlawi
Abdul_Wahid_Bengali	Abdul_Hamid_Madarshahi
Abdul_Wahid_Bengali	Sufi_Azizur_Rahman
Abdulhakim_Arvasi	Necip_Fazıl_Kısakürek
Abdullah_Ansari	Ibn_Qayyim_al-Jawziyya
Abdullah_Öcalan	Kurdistan_Workers'_Party
Abdullah_Öcalan	Kurdistan_Free_Life_Party
Abdullah_Öcalan	Kurdistan_Communities_Union
Abdullah_Öcalan	Autonomous_Administration_of_North_and_East_Syria
Abdullah_Öcalan	David_Graeber
Abdullah_Öcalan	Antonio_Negri
Abdullah_Öcalan	Immanuel_Wallerstein
Abraham_Maslow	Roberto_Assagioli
Abraham_Maslow	Wayne_Dyer
Abraham_Maslow	Douglas_McGregor
Abraham_Maslow	Colin_Wilson
Abraham_Maslow	Abbie_Hoffman
Abraham_Maslow	Elliot_Aronson
Abraham_Wald	Alok_Bhargava
Abraham_Wald	Aryeh_Dvoretzky
Abraham_Wald	Denis_Sargan
Abraham_Wald	Jacob_Wolfowitz
Abu'l-Barakāt_al-Baghdādī	Shihab_al-Din_Yahya_ibn_Habash_Suhrawardi
Abu'l-Barakāt_al-Baghdādī	Abraham_ibn_Ezra
Abu'l-Barakāt_al-Baghdādī	Al-Samawal_al-Maghribi
