href	infobox
'Abd_Allah_Ibn_al-Mubarak	True
'Adud_al-Din_al-'Iji	True
'Ala'_al-Din_al-Bukhari	True
'Ali_Nur_al-Din_al-Yashruti	True
'Ilm_al-Huruf	True
1837_generation	True
1999_Seattle_WTO_protests	True
A._C._Ewing	True
A._C._Grayling	True
A._D._Lublinskaya	True
A._E._Housman	True
A._E._van_Vogt	True
A._G._Rud	True
A._H._L._Heeren	True
A._J._Ayer	True
A._J._Baker	True
A._J._Muste	True
A._J._P._Taylor	True
A._James_Gregor	True
A._James_Reimer	True
A._L._von_Schlözer	True
A._Rupert_Hall	True
A._S._Neill	True
A._V._Dicey	True
A_F_M_Khalid_Hossain	True
Aaron_Sloman	True
Aaron_Swartz	True
Abanindranath_Tagore	True
Abba_P._Lerner	True
Abbas_Mahmoud_al-Aqqad	True
Abbie_Hoffman	True
Abbot_Suger	True
Abbé_Pierre	True
Abd-al-Baqi_al-Zurqani	True
Abd_Allah_al-Qaysi	True
Abd_al-Aziz_Ibn_Baz	True
Abd_al-Fattah_Abu_Ghudda	True
Abd_al-Ghani_al-Nabulsi	True
Abd_al-Karim_al-Jili	True
Abd_al-Qahir_al-Jurjani	True
Abd_al-Razzaq_al-San'ani	True
Abd_al-Salam_ibn_Mashish_al-Alami	True
Abd_al-Wahid_ibn_Zaid	True
Abdallah_ibn_Yasin	True
Abdel-Halim_Mahmoud	True
Abdel_Aziz_al-Rantisi	True
Abdel_Rahman_Badawi	True
Abdolhossein_Zarrinkoob	True
Abdolkarim_Soroush	True
Abdollah_Javadi-Amoli	True
Abdul-Qādir_Bedil	True
Abdul-Rahman_Al-Sudais	True
Abdul-Rahman_al-Sa'di	True
Abdul_Aziz_al-Harbi	True
Abdul_Hai_Arifi	True
Abdul_Hai_Paharpuri	True
Abdul_Halim_Bukhari	True
Abdul_Hamid_Madarshahi	True
Abdul_Latif_Chowdhury_Fultali	True
Abdul_Majid_Daryabadi	True
Abdul_Matin_Chowdhury_(scholar)	True
Abdul_Qadir_Gilani	True
Abdul_Qadir_Raipuri	True
Abdul_Qayum_(imam)	True
Abdul_Wahid_Bengali	True
Abdulhakim_Arvasi	True
Abdullah_Ansari	True
Abdullah_Bosnevi	True
Abdullah_Yusuf_Azzam	True
Abdullah_al-Ghumari	True
Abdullah_al-Harari	True
Abdullah_ibn_Jibreen	True
Abdullah_ibn_Mubarak	True
Abdullah_ibn_al-Mubarak	True
Abdullah_Öcalan	True
Abdur_Rahman_ibn_Yusuf_Mangera	True
Abdurrahman_Sharafkandi	True
Abdurrahman_Wahid	True
Abdus_Salam	True
Abel_J._Jones	True
Abel_Rey	True
Abimael_Guzmán	True
Abraham	True
Abraham_Cahan	True
Abraham_Gottlob_Werner	True
Abraham_H._Taub	True
Abraham_Joshua_Heschel	True
Abraham_Kuyper	True
Abraham_Lincoln	True
Abraham_Maslow	True
Abraham_Sharp	True
Abraham_Wald	True
Abraham_ibn_Ezra	True
Abram_Shulsky	True
Abrarul_Haq_Haqqi	True
Abstract_art	True
Abstract_expressionism	True
Abu'l-Barakāt_al-Baghdādī	True
Abu-Sa'id_Abul-Khayr	True
Abu-l-Qasim_Ahmad_ibn_al-Husayn_ibn_Qasi	True
Abu_'Ubayd_al-Juzjani	True
Abu_Abd_al-Rahman_Ibn_Aqil_al-Zahiri	True
Abu_Abdallah_ibn_Harzihim	True
Abu_Ammaar_Yasir_Qadhi	True
Abu_Amr_of_Basra	True
Abu_Aḥmad_Abdal_Chishti	True
Abu_Bakr_Ibn_Mujāhid	True
Abu_Bakr_al-Razi	True
Abu_Bakr_al-Shibli	True
Abu_Bakr_al-Turtushi	True
Abu_Bakr_al-Warraq	True
Abu_Bakr_ibn_Umar	True
Abu_Bakr_ibn_al-Arabi	True
Abu_Dawud_al-Sijistani	True
Abu_Dharr_al-Ghifari	True
Abu_Dharr_al-Harawi	True
Abu_Hafs_Umar_al-Nasafi	True
Abu_Hanifa	True
Abu_Hanifa_Dinawari	True
Abu_Hasan_al-Ash'ari	True
Abu_Hatim_Muhammad_ibn_Idris_al-Razi	True
Abu_Hayyan_al-Gharnati	True
Abu_Hubayra_al-Basri	True
Abu_Imran_al-Fasi	True
Abu_Ishaq_Shami	True
Abu_Ishaq_al-Isfarayini	True
Abu_Ishaq_al-Shatibi	True
Abu_Ishaq_al-Shirazi	True
Abu_Kamil	True
Abu_Ma'shar_al-Balkhi	True
Abu_Madyan	True
Abu_Mansur_al-Baghdadi	True
Abu_Mansur_al-Maturidi	True
Abu_Mohamed_Salih	True
Abu_Muhammad_al-Maqdisi	True
Abu_Musab_al-Zarqawi	True
Abu_Muḥammad_Chishti	True
Abu_Nasr_Mansur	True
Abu_Nu'aym_Al_Bazzar	True
Abu_Nu'aym_al-Isfahani	True
Abu_Sa'd_al-Sam'ani	True
Abu_Saeed_Mubarak_Makhzoomi	True
Abu_Sahl_'Isa_ibn_Yahya_al-Masihi	True
Abu_Said_al-Baji	True
Abu_Sulayman_Sijistani	True
Abu_Taher_Misbah	True
Abu_Talib_al-Makki	True
Abu_Thawr	True
Abu_Turab_al-Zahiri	True
Abu_Ya'la_ibn_al-Farra'	True
Abu_Yaaza	True
Abu_Yahya_ibn_al-Sakkak	True
Abu_Yaqub_Yusuf	True
Abu_Yusuf	True
Abu_Yusuf_ibn_Saman	True
Abu_Zayd_al-Balkhi	True
Abu_al-Abbas_al-Mursi	True
Abu_al-Abbas_al-Qalanisi	True
Abu_al-Barakat_al-Nasafi	True
Abu_al-Fadl_al-Tamimi	True
Abu_al-Hasan_al-Shushtari	True
Abu_al-Hasan_al-Tamimi	True
Abu_al-Hassan_al-Amiri	True
Abu_al-Hassan_al-Kharaqani	True
Abu_al-Mu'in_al-Nasafi	True
Abu_al-Qasim_al-Khoei	True
Abu_al-Thana'_al-Lamishi	True
Abu_al-Wafa'_Buzjani	True
Abu_al-Yusr_al-Bazdawi	True
Abul-Hassan_Kharaqani	True
Abul_A'la_Maududi	True
Abul_Hasan_Ali_Hasani_Nadwi	True
Abul_Hasan_Hankari	True
Abul_Kalam_Azad	True
Abusaeid_Abolkheir	True
Aby_Warburg	True
Abū_Hayyān_al-Tawhīdī	True
Abū_Isḥāq_Ibrāhīm_al-Zarqālī	True
Abū_Sahl_al-Qūhī	True
Academic_skepticism	True
Achille_Loria	True
Achyut_Patwardhan	True
Acts_of_Union_1707	True
Ada_Lovelace	True
Ada_Maria_Isasi-Diaz	True
Adam_Boreel	True
Adam_Ferguson	True
Adam_Haslmayr	True
Adam_Heydel	True
Adam_Karl_August_von_Eschenmayer	True
Adam_Kotsko	True
Adam_Krzyżanowski	True
Adam_Marsh	True
Adam_Mickiewicz	True
Adam_Müller	True
Adam_Possamai	True
Adam_Schaff	True
Adam_Smith	True
Adam_Tooze	True
Adam_Weishaupt	True
Adam_Wielomski	True
Adam_de_Wodeham	True
Adi_Shankara	True
Adil_al-Kalbani	True
Adlai_Stevenson_II	True
Adolf_A._Berle	True
Adolf_Bastian	True
Adolf_Brand	True
Adolf_Ellegard_Jensen	True
Adolf_Friedrich_(ethnologist)	True
Adolf_Grünbaum	True
Adolf_Hitler	True
Adolf_Jülicher	True
Adolf_Loos	True
Adolf_Merkl	True
Adolf_Meyer_(psychiatrist)	True
Adolf_Noreen	True
Adolf_Reinach	True
Adolf_von_Harnack	True
Adolph_Wagner	True
Adolphe_Franck	True
Adolphe_Garnier	True
Adrian_Johnston_(philosopher)	True
Adrian_Vermeule	True
Adrian_William_Moore	True
Adriano_Castellesi	True
Adrien-Marie_Legendre	True
Adrienne_Rich	True
Adrienne_von_Speyr	True
Adud_al-Din_al-Iji	True
Adurbad-i_Mahraspand	True
Aedesius	True
Aenesidemus	True
Aeschylus	True
Afanasy_Fet	True
Afif_al-Din_Sulayman_al_Tilimsani	True
Afrikan_Spir	True
Afro-pessimism	True
Age_of_Enlightenment	True
Agostino_Nifo	True
Agrippa_the_Skeptic	True
Ahad_Ha'am	True
Aharon_Dolgopolsky	True
Ahi_Evren	True
Ahl-i_Hadith	True
Ahmad_Hasan_Amrohi	True
Ahmad_Milad_Karimi	True
Ahmad_Muhammad_Shakir	True
Ahmad_Shamlou	True
Ahmad_Sirhindi	True
Ahmad_Yasawi	True
Ahmad_Zarruq	True
Ahmad_Zayni_Dahlan	True
Ahmad_al-Alawi	True
Ahmad_al-Dardir	True
Ahmad_ibn_Ajiba	True
Ahmad_ibn_Hanbal	True
Ahmad_ibn_al-Tayyib_al-Sarakhsi	True
Ahmed_Ali_Lahori	True
Ahmed_Cevdet_Pasha	True
Ahmed_Mohammed_al-Maqqari	True
Ahmed_Raza_Khan_Barelvi	True
Ahmed_Yassin	True
Aidan_Nichols	True
Aimé_Césaire	True
Aisha	True
Aisha_Al-Manoubya	True
Akbar_Allahabadi	True
Akeel_Bilgrami	True
Akhtar_Raza_Khan	True
Akif_Saeed	True
Akmal_al-Din_al-Babarti	True
Al-Akhfash_al-Akbar	True
Al-Albani	True
Al-Asmaʿi	True
Al-Bahūtī	True
Al-Baqillani	True
Al-Battani	True
Al-Bayhaqi	True
Al-Bazdawi	True
Al-Biruni	True
Al-Busiri	True
Al-Darani	True
Al-Daraqutni	True
Al-Darimi	True
Al-Dhahabi	True
Al-Farabi	True
Al-Fudayl_ibn_'Iyad	True
Al-Ghazali	True
Al-Hakim_al-Nishapuri	True
Al-Hakim_al-Samarqandi	True
Al-Hakim_al-Tirmidhi	True
Al-Hakim_bi-Amr_Allah	True
Al-Hallaj	True
Al-Harrali	True
Al-Hasan_ibn_'Ali_al-Barbahari	True
Al-Isfizari	True
Al-Jahiz	True
Al-Juwayni	True
Al-Kamal_ibn_al-Humam	True
Al-Karaji	True
Al-Kasani	True
Al-Kashani_al-Fargani	True
Al-Khalil_ibn_Ahmad_al-Farahidi	True
Al-Khatib_al-Baghdadi	True
Al-Khazini	True
Al-Kindi	True
Al-Layth_ibn_Sa'd	True
Al-Ma'mun	True
Al-Mahalli	True
Al-Maqdisi	True
Al-Maqrizi	True
Al-Masudi	True
Al-Mawardi	True
Al-Maydani	True
Al-Nasa'i	True
Al-Nawawi	True
Al-Qaeda	True
Al-Qushayri	True
Al-Rabi_ibn_Khuthaym	True
Al-Raghib_al-Isfahani	True
Al-Safadi	True
Al-Sakhawi	True
Al-Salaf_al-Salih	True
Al-Samawal_al-Maghribi	True
Al-Sarakhsi	True
Al-Sha'rani	True
Al-Shadhili	True
Al-Shafi'i	True
Al-Shahrastani	True
Al-Sharif_al-Jurjani	True
Al-Shawkani	True
Al-Sijzi	True
Al-Suyuti	True
Al-Tabarani	True
Al-Tabari	True
