href	infobox
*Lisp	True
A+_(programming_language)	True
ABC_(programming_language)	True
AIMACO	True
ALF_(proof_assistant)	True
ALGOL	True
ALGOL_58	True
ALGOL_60	True
ALGOL_68	True
ALGOL_W	True
ALGOL_Y	True
AMPL	True
ANSI_C	True
APL_(programming_language)	True
ARITH-MATIC	True
ARPANET	True
ATS_(programming_language)	True
AWK	True
ActionScript	True
Active_Oberon	True
Active_Server_Pages	True
Actor_model	True
Actor_model_middle_history#Actor_programming_languages	True
Ada_(programming_language)	True
Agda_(programming_language)	True
AgentCubes	True
AgentSheets	True
Agora_(programming_language)	True
Akka_(toolkit)	True
Albatross_(programming_language)	True
Alef_(programming_language)	True
Alice_(programming_language)	True
Alma-0	True
Alphard_(programming_language)	True
Apache_Groovy	True
AppleScript	True
Argus_(programming_language)	True
Asm.js	True
AssemblyScript	True
Assembly_language	True
AtScript	True
AutoLISP	True
BASIC	True
BASIC-PLUS	True
BBN_LISP	True
BCPL	True
BETA_(programming_language)	True
B_(programming_language)	True
Bash_(Unix_shell)	True
Basic4android	True
Basic4ppc	True
BeanShell	True
Begriffsschrift	True
Bluespec	True
Boo_(programming_language)	True
Bourne_shell	True
Boxer_(programming_environment)	True
Bs_(programming_language)	True
Burroughs_MCP	True
Burroughs_large_systems	True
C*	True
C++	True
C++11	True
C++14	True
C++17	True
C++20	True
C--	True
C/AL	True
C99	True
CAL_(programming_language)	True
CLIPS	True
CLU_(programming_language)	True
CMS-2	True
CMS_EXEC	True
COBOL	True
COMAL	True
COMIT	True
COMTRAN	True
CORAL	True
COWSEL	True
CPL_(programming_language)	True
CS-1_(programming_language)	True
C_(programming_language)	True
C_Sharp_(programming_language)	True
C_shell	True
Caché_ObjectScript	True
Cadence_SKILL	True
Caml	True
Cat_(programming_language)	True
Category:C_programming_language_family	True
Catrobat	True
Cayenne_(programming_language)	True
Ceylon_(programming_language)	True
Chapel_(programming_language)	True
Chisel_(programming_language)	True
Clean_(programming_language)	True
Clojure	True
CobolScript	True
Cobra_(programming_language)	True
CoffeeScript	True
Common_Lisp	True
Common_Lisp_Object_System	True
Communicating_Sequential_Processes	True
Communicating_sequential_processes	True
Component_Pascal	True
Concepts_(C++)	True
Concurrent_Euclid	True
Constraint_Handling_Rules	True
Contextual_Query_Language	True
Control_Language	True
Cool_(programming_language)	True
Coq	True
Couchbase_Server	True
Cray_MTA	True
Cray_XMT	True
Croquet_OS	True
Crystal_(programming_language)	True
Curry_(programming_language)	True
Cyc	True
Cyclone_(programming_language)	True
Cω	True
DARSIMCO	True
DIGITAL_Command_Language	True
DOPE_(Dartmouth_Oversimplified_Programming_Experiment)	True
D_(programming_language)	True
Dafny	True
Dart_(programming_language)	True
Dartmouth_ALGOL_30	True
Dartmouth_BASIC	True
Dartmouth_Time_Sharing_System	True
Datalog	True
Dataparallel-C	True
Delphi_(Programming_Language)	True
Dependent_ML	True
Donald_Knuth	True
Drago_(programming_language)	True
Dylan_(programming_language)	True
ECMAScript	True
EGL_(programming_language)	True
EISPACK	True
EXEC_2	True
E_(programming_language)	True
Ease_(programming_language)	True
Ed_(text_editor)	True
Eiffel_(programming_language)	True
Elixir_(programming_language)	True
Elm_(programming_language)	True
Emacs_Lisp	True
Epigram_(programming_language)	True
Erlang_(programming_language)	True
Escher_(programming_language)	True
Etoys_(programming_language)	True
EuLisp	True
Euclid_(programming_language)	True
Euler_(programming_language)	True
Executive_Systems_Problem_Oriented_Language	True
Extensible_Application_Markup_Language	True
F*_(programming_language)	True
FACT_(computer_language)	True
FLOW-MATIC	True
FL_(programming_language)	True
FOCAL_(programming_language)	True
FP_(programming_language)	True
F_Sharp_(programming_language)	True
Factor_(programming_language)	True
Fantom_(programming_language)	True
Flix_(programming_language)	True
Forth_(programming_language)	True
Fortran	True
Fortress_(programming_language)	True
FreeBASIC	True
GNU_Octave	True
GRASS_(programming_language)	True
GT.M	True
GW-BASIC	True
Gambas	True
GameMonkey_Script	True
General_algebraic_modeling_system	True
Generic_Java	True
Generics_in_Java	True
Genie_(programming_language)	True
Go_(programming_language)	True
Gofer_(programming_language)	True
Google_Native_Client	True
Gosu_(programming_language)	True
HTML	True
Hack_(programming_language)	True
Haskell	True
Haxe	True
Heinz_Rutishauser	True
Hibernate_(framework)	True
High_Performance_Fortran	True
Hope_(programming_language)	True
HotSpot_(virtual_machine)	True
Hy	True
HyperCard	True
HyperTalk	True
IBM_BASIC	True
IBM_PL/S	True
IDL_(programming_language)	True
IMP_(programming_language)	True
INTLAB	True
ISLISP	True
ISWIM	True
Icon_(programming_language)	True
Id_(programming_language)	True
Idris_(programming_language)	True
Information_Processing_Language	True
Interlisp	True
Interpress	True
Io_(programming_language)	True
Ioke_(programming_language)	True
Isabelle_(proof_assistant)	True
JOOQ_Object_Oriented_Querying	True
JOSS	True
JOVIAL	True
JS++	True
JSON	True
J_(programming_language)	True
Jakarta_Persistence_Query_Language	True
Jakarta_Server_Pages	True
JavaScript	True
Java_(programming_language)	True
Job_Control_Language	True
Join_calculus	True
Joins_(concurrency_library)	True
Joule_(programming_language)	True
Joy_(programming_language)	True
Julia_(programming_language)	True
KL0	True
KL1	True
K_(programming_language)	True
Kawa_(Scheme_implementation)	True
Kent_Recursive_Calculator	True
KornShell	True
Kotlin_(programming_language)	True
LFE_(programming_language)	True
LINPACK	True
LLVM	True
LPMud	True
Language_Integrated_Query	True
Laning_and_Zierler_system	True
Lasso_(programming_language)	True
Le_Lisp	True
Lean_(proof_assistant)	True
Limbo_(programming_language)	True
Lingo_(programming_language)	True
Lisp_(programming_language)	True
Lisp_Machine_Lisp	True
List_of_BASIC_dialects	True
List_of_object-oriented_programming_languages	True
LiveCode	True
LiveScript_(programming_language)	True
Logic_Programming#Concurrent_logic_programming	True
Logo_(programming_language)	True
Logtalk	True
Lua_(programming_language)	True
Lucid_(programming_language)	True
Lustre_(programming_language)	True
MATH-MATIC	True
MATLAB	True
ML_(programming_language)	True
MSX_BASIC	True
MUMPS	True
Machine_code	True
Maclisp	True
Makeblock	True
Maker_culture	True
Mary_(programming_language)	True
Mathematical_notation	True
Mercury_(programming_language)	True
Mesa_(programming_language)	True
Microsoft_BASIC	True
Microsoft_Excel	True
Microsoft_Power_Fx	True
Microsoft_Small_Basic	True
Mirah_(programming_language)	True
Miranda_(programming_language)	True
Modula	True
Modula-2	True
Modula-2+	True
Modula-3	True
Moose_(Perl)	True
NEWP	True
NS_Basic	True
Natural_language_programming	True
NekoVM	True
Nemerle	True
NetLogo	True
NetRexx	True
Newspeak_(programming_language)	True
Newsqueak	True
NewtonScript	True
Nial	True
Nim_(programming_language)	True
Nineteen_Eighty-Four	True
Nu_(programming_language)	True
NumPy	True
OCaml	True
OPS5	True
Oaklisp	True
Oberon-2	True
Oberon_(programming_language)	True
ObjVlisp	True
Object_Oberon	True
Object_Pascal	True
Object_REXX	True
Objective-C	True
Objective-J	True
Occam_(programming_language)	True
Opa_(programming_language)	True
OpenLisp	True
OpenVera	True
Orwell_(programming_language)	True
Oxygene_(programming_language)	True
Oz_(programming_language)	True
PACT_I	True
PDF	True
PHP	True
PL-6	True
PL/0	True
PL/8	True
PL/I	True
PL/M	True
PL/SQL	True
PL/pgSQL	True
PLEX_(programming_language)	True
POP-11	True
POP-2	True
PSB-Prolog	True
ParaSail_(programming_language)	True
Pascal_(programming_language)	True
Perl	True
Pike_(programming_language)	True
